Zip Code,Total Population Age 16+,Ages 16-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-64,Ages 65-74,Ages 75+,Total Population,Make,Fully Vaccinated,Partially Vaccinated,1_plus_dose,booster_recip_count,%_Employed,above_average,over_75_population
92867,35404,3940,4089,2984,2519,5120,5845,3211,2575,2581,2540,44655,WORKHORSE,0.666124,0.044921,0.711045,11434.0,0.792833949165827,0,0.05688052849624902
92868,22775,1347,2715,3886,2805,3635,3086,1373,1262,1611,1055,27072,VOLVO,0.63039,0.06034,0.69073,6145.0,0.8412751182033097,0,0.0389701536643026
92869,30019,1876,2141,2737,2653,4601,5446,2835,2262,3506,1962,36846,VOLVO,0.727067,0.047834,0.774901,11212.0,0.8147153015252673,1,0.05324865657059111
92870,42593,2788,3809,3542,4130,6808,7187,3384,3226,4106,3613,53600,WORKHORSE,0.712206,0.045658,0.757864,15284.0,0.7946455223880597,1,0.06740671641791045
92879,37111,2406,3771,3858,3623,7029,6642,2991,2043,2653,2095,47872,WORKHORSE,0.620142,0.050468,0.67061,8705.0,0.7752130681818182,0,0.04376253342245989
92880,51058,3802,4479,4695,4872,11342,9375,3967,2860,3370,2296,69656,WORKHORSE,0.587723,0.036466,0.624189,13510.0,0.7330021821522913,0,0.03296198461008384
92881,26567,2187,2613,2709,1575,3851,5742,2672,1861,2038,1319,33531,WORKHORSE,0.588277,0.041372,0.629649,7090.0,0.7923115922579106,0,0.03933673317228833
92882,57357,4222,5482,5685,5288,11030,9708,4760,3573,4581,3028,73250,WORKHORSE,0.594174,0.041165,0.635339,13819.0,0.7830307167235495,0,0.04133788395904437
92883,27035,2028,1822,1771,2036,5481,5203,2005,1978,2850,1861,35933,WORKHORSE,0.633437,0.045976,0.679413,8530.0,0.7523724709876715,0,0.051790832939081065
92886,40433,2715,2231,3006,2134,6093,7582,3890,3630,5438,3714,50784,WORKHORSE,0.712574,0.047467,0.760041,16055.0,0.7961759609325771,1,0.07313327032136106
92887,16247,990,1120,1035,859,2181,2703,1997,1815,2441,1106,20012,WORKHORSE,0.733295,0.046548,0.779843,6817.0,0.8118628822706376,1,0.05526683989606236
93001,26584,1452,1928,2656,3112,3652,4260,2487,2562,2800,1675,32396,WORKHORSE,0.716683,0.060112,0.776795,8672.0,0.8205951352018768,1,0.051703914063464626
93003,41722,2449,2998,3739,3461,6707,6271,3715,3368,4818,4196,51629,WORKHORSE,0.720872,0.04928,0.770152,15966.0,0.808111720157276,1,0.08127215324720603
